repo,name,category,summary,install,best_for,avoid_if,stars,license,last_pushed_at,archived,official,verified_at,status
github/gh-actions-importer,actions-importer,Actions/CI,Plan and automate migrations into GitHub Actions.,gh extension install github/gh-actions-importer,Enterprise teams migrating from other CI systems.,Your project is already on GitHub Actions.,1213,MIT,2025-11-11T17:17:13Z,false,true,2026-06-08,active
basecamp/gh-signoff,signoff,Actions/CI,Run local CI-style checks before signing off work.,gh extension install basecamp/gh-signoff,Developers who want a repeatable pre-merge local signoff flow.,Your project has no local check commands.,1076,MIT,2025-11-05T22:59:53Z,false,false,2026-06-08,active
dlvhdr/gh-enhance,enhance,Actions/CI,A fast terminal UI for inspecting and managing GitHub Actions.,gh extension install dlvhdr/gh-enhance,Developers who want an interactive terminal UI for GitHub Actions workflows.,You only need basic workflow status output or prefer the GitHub web UI.,193,MIT,2026-06-07T09:10:56Z,false,false,2026-06-08,active
fchimpan/gh-workflow-stats,workflow-stats,Actions/CI,Calculate workflow and job success rate and execution time.,gh extension install fchimpan/gh-workflow-stats,CI owners investigating slow or flaky workflows.,You only need the latest run status.,109,MIT,2026-03-23T06:34:25Z,false,false,2026-06-08,active
fchimpan/gh-slimify,slimify,Actions/CI,Detect workflows that can move to cost-efficient slim runners.,gh extension install fchimpan/gh-slimify,Teams trying to reduce GitHub Actions runner cost.,You do not use GitHub-hosted runners.,105,NOASSERTION,2026-03-06T06:14:39Z,false,false,2026-06-08,active
nektos/gh-act,act,Actions/CI,Run GitHub Actions locally through a GitHub CLI extension.,gh extension install nektos/gh-act,Developers testing workflows before pushing.,Your workflows depend heavily on GitHub-hosted runner-only services.,103,MIT,2026-06-01T03:23:24Z,false,false,2026-06-08,active
rsese/gh-actions-status,actions-status,Actions/CI,View the overall health of an organization's use of Actions.,gh extension install rsese/gh-actions-status,Organization-level GitHub Actions reporting.,You only need a single repository workflow status.,52,NOASSERTION,2023-05-15T04:12:00Z,false,false,2026-06-08,stale
github/gh-aw,aw,AI/Agents,Run GitHub agentic workflows from the CLI.,gh extension install github/gh-aw,Developers experimenting with GitHub-native agent workflows.,You are not using agentic automation yet.,4587,MIT,2026-06-08T11:02:52Z,false,true,2026-06-08,active
github/gh-models,models,AI/Agents,Use GitHub Models from GitHub CLI.,gh extension install github/gh-models,Developers testing prompts and models from the terminal.,You do not use GitHub Models.,200,MIT,2026-06-04T21:52:35Z,false,true,2026-06-08,active
sgoedecke/gh-standup,standup,AI/Agents,Generate an AI-assisted standup report from GitHub activity.,gh extension install sgoedecke/gh-standup,Developers who prepare regular written standup updates.,You cannot send repository activity to an AI provider.,108,MIT,2026-04-23T03:04:27Z,false,false,2026-06-08,active
shuymn/gh-mcp,mcp,AI/Agents,Run GitHub MCP Server using existing GitHub CLI authentication.,gh extension install shuymn/gh-mcp,Users connecting AI tools to GitHub through MCP.,You do not use MCP-compatible clients.,31,MIT,2026-06-05T17:03:51Z,false,false,2026-06-08,active
dlvhdr/gh-dash,dash,Dashboard/TUI,"A rich terminal dashboard for pull requests, issues, and notifications.",gh extension install dlvhdr/gh-dash,"Maintainers who live in PR, issue, and notification queues.",You prefer one-off commands over a persistent TUI.,11847,MIT,2026-06-07T09:06:35Z,false,false,2026-06-08,active
github/gh-skyline,skyline,Dashboard/TUI,Generate a 3D model of GitHub contribution history.,gh extension install github/gh-skyline,"Profile visualizations, demos, and community events.",You need an operational productivity tool.,1284,MIT,2026-05-28T20:19:35Z,false,true,2026-06-08,active
yusukebe/gh-markdown-preview,markdown-preview,Dashboard/TUI,Preview Markdown as it appears on GitHub.,gh extension install yusukebe/gh-markdown-preview,"README, issue template, and documentation review.",You need fully offline preview support.,846,MIT,2026-05-21T07:33:02Z,false,false,2026-06-08,active
kawarimidoll/gh-graph,graph,Dashboard/TUI,Display a GitHub contribution graph in the terminal.,gh extension install kawarimidoll/gh-graph,Users who want contribution history without opening a profile page.,You need repository management features.,138,MIT,2026-01-04T11:26:37Z,false,false,2026-06-08,active
thiagokokada/gh-gfm-preview,gfm-preview,Dashboard/TUI,"Preview GitHub-flavored Markdown, including offline workflows.",gh extension install thiagokokada/gh-gfm-preview,Writers who need Markdown preview without relying on GitHub web UI.,You only need the simplest browser-based preview.,94,MIT,2026-06-01T17:11:02Z,false,false,2026-06-08,active
mislav/gh-contrib,contrib,Dashboard/TUI,Render your GitHub contribution graph in the terminal.,gh extension install mislav/gh-contrib,Users who want a lightweight profile visualization command.,You need repository or PR management features.,54,Unlicense,2026-01-03T18:06:52Z,false,false,2026-06-08,active
gizmo385/gh-lazy,lazy,Dashboard/TUI,A terminal UI for interacting with GitHub.,gh extension install gizmo385/gh-lazy,Users who want a compact TUI for GitHub resources.,You prefer scriptable command output.,33,MIT,2026-05-03T09:03:29Z,false,false,2026-06-08,active
jrnxf/gh-eco,eco,Dashboard/TUI,Explore GitHub profiles and ecosystem information.,gh extension install jrnxf/gh-eco,Developers exploring GitHub communities and profiles.,You need a narrowly focused productivity command.,475,MIT,2024-09-03T14:14:49Z,false,false,2026-06-08,watch
meiji163/gh-notify,notify,Notifications,Display GitHub notifications in the terminal.,gh extension install meiji163/gh-notify,Developers who want notification awareness without the browser.,You already manage notifications through email or mobile.,344,Unlicense,2026-06-05T14:21:26Z,false,false,2026-06-08,active
emmanuel-ferdman/gh-gonest,gonest,Notifications,Remove phantom notifications from inaccessible repositories.,gh extension install emmanuel-ferdman/gh-gonest,Users stuck with notifications from deleted or inaccessible repositories.,Your notification inbox is already clean.,118,MIT,2025-12-20T13:01:38Z,false,false,2026-06-08,active
k1LoW/gh-triage,triage,Notifications,Manage issues and pull requests through unread notifications.,gh extension install k1LoW/gh-triage,Maintainers who triage from their notification inbox.,You do not use GitHub notifications as a work queue.,35,MIT,2025-12-17T00:24:02Z,false,false,2026-06-08,active
